Observed Water Content,VG Fitted Water Content,"Suction, h(cm)"
0.387,0.392,0.309
0.390,0.392,1.452
0.391,0.392,2.305
0.391,0.392,3.160
0.391,0.392,4.012
0.389,0.392,4.582
0.392,0.392,4.866
0.391,0.392,5.436
0.392,0.392,6.292
0.391,0.392,6.577
0.390,0.392,7.430
0.387,0.392,7.716
0.389,0.392,8.282
0.390,0.392,8.853
0.389,0.392,9.422
0.388,0.392,9.993
0.387,0.392,10.845
0.387,0.392,11.416
0.389,0.392,11.985
0.387,0.392,12.842
0.385,0.392,13.407
0.386,0.392,13.976
0.387,0.392,14.263
0.385,0.392,14.550
0.383,0.392,14.831
0.384,0.392,15.686
0.386,0.392,15.973
0.385,0.392,16.256
0.383,0.392,17.110
0.382,0.392,17.396
0.383,0.392,17.963
0.383,0.392,18.531
0.383,0.392,19.103
0.381,0.392,19.387
0.382,0.392,19.670
0.382,0.391,20.526
0.382,0.391,20.809
0.383,0.391,21.380
0.380,0.391,21.664
0.381,0.391,21.949
0.383,0.390,22.521
0.381,0.390,23.090
0.380,0.389,23.373
0.380,0.389,23.654
0.379,0.388,24.510
0.379,0.388,24.795
0.380,0.387,25.080
0.381,0.387,25.366
0.379,0.387,25.366
0.378,0.386,25.651
0.378,0.385,25.934
0.379,0.385,26.222
0.378,0.384,26.506
0.379,0.383,26.792
0.378,0.383,27.075
0.378,0.383,27.076
0.378,0.381,27.647
0.378,0.381,27.642
0.378,0.381,27.644
0.379,0.379,28.213
0.380,0.379,28.210
0.379,0.378,28.498
0.380,0.377,28.780
0.379,0.377,28.782
0.380,0.376,29.065
0.379,0.375,29.353
0.373,0.377,28.782
0.374,0.375,29.355
0.373,0.374,29.636
0.373,0.372,29.920
0.370,0.372,29.922
0.372,0.372,29.922
0.371,0.372,29.921
0.370,0.371,30.208
0.370,0.370,30.492
0.370,0.370,30.492
0.369,0.370,30.490
0.370,0.372,29.924
0.370,0.371,30.206
0.370,0.370,30.493
0.370,0.369,30.774
0.369,0.367,31.060
0.368,0.367,31.060
0.368,0.366,31.344
0.368,0.366,31.348
0.368,0.366,31.349
0.366,0.365,31.631
0.366,0.363,31.915
0.366,0.362,32.201
0.366,0.361,32.482
0.365,0.359,32.768
0.363,0.359,32.769
0.362,0.359,32.771
0.362,0.359,32.771
0.364,0.358,33.052
0.363,0.356,33.341
0.363,0.356,33.337
0.361,0.356,33.339
0.361,0.355,33.623
0.361,0.355,33.624
0.357,0.354,33.911
0.357,0.354,33.908
0.356,0.354,33.909
0.356,0.352,34.193
0.357,0.351,34.481
0.355,0.351,34.474
0.356,0.350,34.761
0.354,0.349,35.050
0.351,0.349,35.044
0.354,0.348,35.332
0.352,0.348,35.331
0.349,0.346,35.617
0.350,0.346,35.614
0.348,0.345,35.901
0.347,0.346,35.617
0.344,0.345,35.904
0.346,0.344,36.187
0.346,0.344,36.186
0.343,0.343,36.469
0.342,0.342,36.757
0.340,0.341,37.040
0.338,0.341,37.040
0.339,0.340,37.325
0.336,0.340,37.325
0.337,0.339,37.605
0.333,0.339,37.605
0.330,0.338,37.896
0.331,0.337,38.181
0.333,0.337,38.177
0.329,0.337,38.175
0.329,0.336,38.463
0.328,0.336,38.751
0.326,0.336,38.746
0.325,0.335,39.030
0.324,0.334,39.317
0.324,0.334,39.317
0.319,0.334,39.316
0.321,0.334,39.598
