Observed Water Content,Fitted Water Content,"Suction, h(cm)"
0.356,0.364,13.12
0.352,0.362,13.689
0.359,0.36,14.543
0.359,0.358,15.397
0.354,0.356,16.251
0.361,0.353,17.105
0.364,0.348,18.529
0.372,0.344,19.668
0.323,0.331,22.514
0.308,0.322,24.223
0.295,0.316,25.361
0.289,0.308,26.785
0.277,0.3,28.208
0.269,0.291,29.632
0.268,0.279,31.625
0.263,0.269,33.333
0.258,0.257,35.325
0.253,0.244,37.603
0.247,0.229,40.45
0.247,0.216,43.012
0.226,0.199,46.713
0.215,0.185,50.129
0.196,0.168,54.969
0.189,0.162,56.962
0.18,0.157,58.67
0.177,0.153,60.093
0.175,0.15,61.232
0.174,0.148,62.371
0.173,0.146,63.225
0.17,0.144,64.079
0.167,0.142,64.933
0.173,0.142,64.933
0.163,0.14,65.787
0.162,0.139,66.072
0.162,0.138,66.641
0.161,0.138,66.926
0.157,0.137,67.211
0.158,0.136,67.78
0.156,0.135,68.065
0.154,0.135,68.349
0.15,0.134,68.634
0.147,0.133,69.203
0.144,0.133,69.488
0.143,0.132,70.058
0.14,0.131,70.342
0.136,0.13,70.912
0.133,0.129,71.481
0.13,0.128,72.05
0.123,0.127,72.62
0.119,0.126,73.189
0.117,0.126,73.759
0.113,0.125,74.328
0.108,0.124,74.897
0.104,0.123,75.182
0.106,0.123,75.751
0.099,0.121,76.89
0.099,0.12,77.46
0.092,0.119,78.598
0.091,0.118,79.452
0.088,0.116,80.876
0.084,0.115,81.73
0.08,0.113,83.153
0.079,0.112,84.577
0.07,0.111,84.861
0.068,0.11,86
0.079,0.11,86.285
0.069,0.109,86.854
0.07,0.109,87.708
0.074,0.108,87.993
0.07,0.108,88.562
0.07,0.108,88.562
0.07,0.107,88.847
0.072,0.107,89.132
0.07,0.107,89.132
